Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
One W,Watch,"Mr.  Mohsin  Ali
Mehmood,  Astt.
Protocol officer",Unknown,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Constable  Asif
Hussain  Shah,
Gunman",Police,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Constable  M.  Aamir
Khan,  Police
Gunman",Police,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Constable  Niamat
Shah Police Gunman",Police,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Constable  M  Yasir
Police Gunman",Police,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Mr.  M  Ikram  Abbasi
Camera man PTV",Media,2019-01-24,100000.0,35000.0,Yes,Yes
One W,Watch,"Mr.  Arshad  Ali,
Photographer",Media,2019-01-24,100000.0,35000.0,Yes,Yes
One Table Clock,Not Specified,"Mr.  Imran  khan  P.M
of Pakistan",PTI,2019-01-23,500000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
One  W,Watch,"Makhdoom  shah
Mahmood  Hussain
Qureshi",PTI,2019-01-29,600000.0,285000.0,Yes,Yes
One  W,Watch,"Mr.  Murad  Ashraf
Janjua,  Chief  of
Protocol  M/o  Foreign
Affairs",PTI,2019-01-29,2000000.0,985000.0,Yes,Yes
One state council coin,Not Specified,Chairman Senate,Unknown,2019-01-29,5000.0,0.0,Yes,Yes
One  Nizwa  fort  ,Not Specified,Chairman Senate,Unknown,2019-01-29,80000.0,25000.0,Yes,Yes
One small shield,Not Specified,Chairman Senate,Unknown,2019-01-29,0.0,0.0,Yes,Yes
One  model  of  Shura,Not Specified,Chairman Senate,Unknown,2019-01-29,5000.0,0.0,Yes,Yes
One Frame,Not Specified,Chairman Senate,Unknown,2019-01-29,0.0,0.0,Yes,Yes
One medium size Shield,Not Specified,Chairman Senate,Unknown,2019-01-29,0.0,0.0,Yes,Yes
One golden plate,Not Specified,Chairman Senate,Unknown,2019-01-29,0.0,0.0,Yes,Yes
One Holy Quran,Not Specified,Chairman Senate,Unknown,2019-01-29,0.0,0.0,Yes,Yes
One  W,Watch,"Syed Zulfiqar
Bukhari, SAPM",PTI,2019-01-31,600000.0,285000.0,Yes,Yes
One  Gun  AK-,Weapons,"Dr.  Arif  Alvi,
President of Pakistan",Unknown,2019-01-31,600000.0,285000.0,Yes,Yes
One W,Watch,"Mr.  Ghulam  Sarwar
Khan,  Minister  for
Energy",Unknown,2019-02-07,600000.0,285000.0,Yes,Yes
One Model of Deer,Not Specified,"Mr.  Ghulam  Sarwar
Khan,  Minister  for",Unknown,2019-02-07,8000.0,0.0,Yes,Yes
One brass coin,Not Specified,Chairman of Senate,Unknown,2019-02-08,0.0,0.0,Yes,Yes
Golden coin,Not Specified,Chairman of Senate,Unknown,2019-02-08,0.0,0.0,Yes,Yes
One round shield,Not Specified,Chairman of Senate,Unknown,2019-02-08,0.0,0.0,Yes,Yes
Tea set,Crockery,Chairman of Senate,Unknown,2019-02-08,3500.0,0.0,Yes,Yes
W,Watch,"Special  Assistant  to
the  Prime  Minister
on Accountability",Unknown,2019-02-11,325000.0,0.0,No,No
W,Watch,"Mr.  Abdul  Razzaq
Dawood,  Advisor  on
Commerce,  Textile,
Industries  &
Production  and
Investment",Unknown,2019-02-11,600000.0,0.0,No,No
One Carpet,Carpet,Chairman Senate,Unknown,2019-02-12,20000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
One Kalashinkov  ,Not Specified,"Prime  Minister  of
Pakistan,  Mr.    Imran
Khan",PTI,2019-02-12,600000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
One  Dagger  ,Not Specified,"Foreign  Minister
Shah  Mahmood
Qureshi",Unknown,2019-02-13,40000.0,5000.0,Yes,Yes
Model of Boat,Not Specified,"Foreign  Minister
Shah  Mahmood
Qureshi",Unknown,2019-02-13,60000.0,15000.0,Yes,Yes
One set of Sugar and tea,Crockery,"Foreign  Minister
Shah  Mahmood
Qureshi",PTI,2019-02-20,200000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
Wall of China Painting,Not Specified,Chairman Senate,Unknown,2019-02-20,10000.0,0.0,No,No
One Wrist Watch Cartier,Watch,"Syed  Ahsan  Raza
Shah,  Ambassador
of Pakistan to Qatar",Bureaucracy,2019-02-19,200000.0,85000.0,Yes,Yes
One  Carpet  ,Carpet,"Mr.  Imran  Khan,",PTI,2019-03-14,20000.0,0.0,Yes,Yes
One  Oppo  CPH-,Phone,"Khalil  Hashmi
Director  General
(UN)",Unknown,2019-03-14,80000.0,0.0,No,No
One  carpet,Carpet,"Mr.  Omar  Ayub
Khan,  Minister  for
Energy",Unknown,2019-03-18,20000.0,0.0,Yes,Yes
Tea set ,Crockery,Foreign Secretary,Bureaucracy,2019-03-12,3000.0,0.0,Yes,Yes
One sword,Weapons,"Prime  Minister  Mr.
Imran Khan",PTI,2019-03-20,45000.0,0.0,No,No
One  wrist  watch  Rolex,Watch,"Brig  Waseem
Iftikhar  Cheema,
Military  secretary  to
the Prime Minister",Military,2019-03-20,1300000.0,635000.0,Yes,Yes
One souvenir,Not Specified,"Chairman  HITB,
Taxila",Unknown,2019-03-22,0.0,0.0,Yes,Yes
One  model  light  tactical,Not Specified,"Chairman  HITB,
Taxila",Unknown,2019-03-22,0.0,0.0,Yes,Yes
One shield,Not Specified,"Chairman  HITB,
Taxila",Unknown,2019-03-22,15000.0,0.0,Yes,Yes
One  packet  of  Korean,Food,"Brig  Nauman Anwar,
Director  Marketing  &
Procurement",Military,2019-03-22,2500.0,0.0,Yes,Yes
One souvenir,Not Specified,"Brig  Nauman Anwar,
Director  Marketing  &
Procurement",Military,2019-03-22,0.0,0.0,Yes,Yes
One souvenir,Not Specified,"Brig  Nauman Anwar,
Director  Marketing  &
Procurement",Military,2019-03-22,0.0,0.0,Yes,Yes
One  frame  ,Decoration Pieces,"Prime  Minister  Mr.
Imran Khan",PTI,2019-03-26,0.0,0.0,Yes,Yes
One sword,Not Specified,Chairman Senate,Unknown,2019-04-01,15000.0,0.0,Yes,Yes
One  wooden  box,Watch,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-10,3500.0,0.0,Yes,Yes
One  Box  containing,Not Specified,"Mr.  Imran  Khan,
Prime  Minister of
Pakistan",PTI,2019-04-15,30000.0,0.0,Yes,Yes
a,Carpet,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-04-05,30000.0,0.0,Yes,Yes
One  Replica  of  Malaysian,Not Specified,"Dr.  Arif Alvi,
President of Pakistan",PTI,2019-04-05,0.0,0.0,Yes,Yes
a,Not Specified,"Raja  M.  Zafar  ul
Haq,  Leader  of  the
opposition senate Chairman Senate",Unknown,2019-04-25,15000.0,0.0,Displayed,Yes
One Silk Carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-24,85000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
One Carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-24,30000.0,0.0,Yes,Yes
One Flower vase,Decoration Pieces,"Adviser  to  the  Prime
Minister  for  Finance,
Revenue  and
Economic Affairs",Unknown,2019-04-30,7500.0,0.0,No,No
One flower vase,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of",PTI,2019-04-30,30000.0,0.0,Yes,Yes
One  Huawei  Mobile    ,Not Specified,"Mr.  Imran  Khan,
Prime Minister  of
Pakistan",PTI,2019-04-30,90000.0,0.0,No,No
One wooden locker box,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,10000.0,0.0,No,No
One Carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,30000.0,0.0,Yes,Yes
One model of Truck,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,0.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,60000.0,0.0,"a) Retained
b) Deposited in
Toshakhana
c) Deposited in
Toshakhana","a) Retained
b) Deposited in
Toshakhana
c) Deposited in
Toshakhana"
One Wall Hanging frame,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,30000.0,0.0,Yes,Yes
One wall hanging paper,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-04-30,5000.0,0.0,Yes,Yes
One  W,Watch,"Mr.  Nadeem  Babar,
SAPM on Petroleum",Unknown,2019-05-02,600000.0,0.0,Yes,Yes
a,Not Specified,"Chief  of  Air  Staff,
Pakistan Air force",Military,2019-05-17,350409.0,0.0,No,No
One  box  containing  Bisht,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",Unknown,2019-04-29,30000.0,0.0,Yes,Yes
One Dagger,Not Specified,"First  Lady  of
Pakistan,  wife  of  Dr.
Arif Alvi",PTI,2019-04-29,40000.0,5000.0,Yes,Yes
One necklace,Not Specified,"First  Lady  of
Pakistan,  wife  of  Dr.
Arif Alvi",PTI,2019-04-29,18000.0,0.0,Yes,Yes
One  Huawei  mobile  ,Not Specified,"Mr Shafqat
Mehmood,  Federal
Minister  for  Federal
Education  of
Professional Training",Unknown,2019-05-20,90000.0,0.0,No,No
One  model  of  Boat,Not Specified,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",Unknown,2019-05-23,0.0,0.0,Yes,Yes
Krygyz  Tea  set  ,Crockery,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",PTI,2019-05-23,27000.0,0.0,Yes,Yes
Complete  set  of  Kuwaiti,Not Specified,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",Unknown,2019-05-23,15000.0,0.0,Yes,Yes
One Kuwaiti Bisht ,Not Specified,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",Unknown,2019-05-23,2000.0,0.0,Yes,Yes
One  box  containing  tea,Crockery,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-05-29,35000.0,0.0,No,No
One  set  of  two  cups  and,Not Specified,"Pakistani  delegation
(Secretary  General",Bureaucracy,2019-06-12,5000.0,0.0,Yes,Yes
Model  of  Meccan  clock,Not Specified,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",Unknown,2019-06-12,0.0,0.0,Yes,Yes
Flask  ,Crockery,"Foreign  Minister  of
Pakistan,  Shah
Mehmood Qureshi",PTI,2019-06-12,35000.0,2500.0,No,No
One  decoration  piece,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-06-17,75000.0,0.0,No,No
a,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-06-17,510000.0,0.0,Yes,Yes
One  carpet  ,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-06-18,50000.0,0.0,No,No
One  box  ,Not Specified,"Brig  Iftikhar
Cheema,  Military
secretary  to  the
Prime Minister",Military,2019-06-19,100000.0,0.0,Yes,Yes
a,Crockery,"Brig  Nauman Anwar,
Director  Marketing  &
Procurement",Military,2019-06-24,82200.0,0.0,Yes,Yes
a,Not Specified,"Brig  Nauman Anwar,
Director Marketing  &
Procurement",Military,2019-06-24,0.0,0.0,No,No
a,Not Specified,"SAPM  on  Social
Petroleum  &  Poverty
Alleviation",Unknown,2019-06-21,20000.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Imran  Khan,",PTI,2019-06-25,23000.0,0.0,Yes,Yes
b,Not Specified,"Prime  Minister  of
Pakistan,  and
Begum  Prime
Minister of Pakistan",PTI,2010-05-11,1119400.0,544700.0,"b) Amount
deposited, gift
retained","b) Amount
deposited, gift
retained"
One  Wrist  Watch  Rolex,Watch,"Brig.  Waseem
Iftikhar  Cheema,  MS
to the Prime Minister",Military,2019-06-25,1600000.0,785000.0,Yes,Yes
One  Ladies  Wrist  Watch,Watch,"Wife  of  Brig.
Waseem  Iftikhar
Cheema",Military,2019-06-25,1044292.0,507146.0,Yes,Yes
a,Watch,"Syed  Zulfiqar  Abbas
Bukhari,  SAPM  on
Overseas Pakistanis",PTI,2019-06-26,2044292.0,0.0,No,No
One  Rolex  wrist  watch,Watch,"Foreign  Secretary,
Mr. Sohail Mahmood",PTI,2019-07-03,956000.0,0.0,No,No
One scenery,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",PTI,2019-07-04,5000.0,0.0,Yes,Yes
One carpet ,Carpet,"Shah  Mehmood Hussain  Qureshi,
Foreign  Minister  of
Pakistan",PTI,2019-07-04,18000.0,0.0,Yes,Yes
One  gents  wrist  watch,Watch,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of
Pakistan",PTI,2019-07-04,2500000.0,0.0,No,No
One  Lady,Watch,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of
Pakistan",PTI,2019-07-04,1200000.0,585000.0,Yes,Yes
Afghani  wall  hanging,Carpet,"M.  Aejaz,  Additional
Secretary
(Afghanistan,
Iran,Turkey)",PTI,2019-07-04,18000.0,0.0,Yes,Yes
One carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-07-07,0.0,0.0,No,No
One Carpet,Carpet,"Sardar  Usman
Ahmed  Khan
Buzdar,  Chief
Minister of Punjab",PTI,2019-07-10,45000.0,7500.0,Yes,Yes
One  woolen  carpet,Carpet,"Mr.  Mohammad
Sarwar,  Governor,
Punjab",Unknown,2019-07-23,0.0,5000.0,Yes,Yes
One  box  containing  Tea,Crockery,"Mr.  Murad  Saeed,
Federal  Minister  for
Communication  &
Postal Services ",PTI,2019-08-01,4500.0,0.0,No,No
One  box  made  of  Lapis,Not Specified,"Mr. Muhammad Adil,
Deputy  Chief  of
Protocol ",Military,2019-08-07,15000.0,0.0,No,No
One Rolex W,Watch,"Dr.  Abdul  Hafeez
Sheikh,  Adviser  to
the PM on Finance &
Revenue",PTI,2019-08-08,1400000.0,685000.0,Yes,Yes
One CKIN,Not Specified,Director  Marketing  &,Unknown,2019-08-09,2500.0,0.0,Yes,Yes
One  Afghan Carpet  Small,Carpet,"Mr.  Murad  Ashraf
Janjua,  Chief  of
State Protocol",Military,2019-08-09,19000.0,0.0,Yes,Yes
One  shield,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",PTI,2019-08-28,4000.0,0.0,Yes,Yes
One rug,Carpet,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",PTI,2019-08-28,2500.0,0.0,Yes,Yes
One Prayer Bead,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Power Division",PTI,2019-09-06,50000.0,10000.0,Yes,Yes
One Model of Horse,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-09-11,150000.0,0.0,"Gift Displayed at PM
House","Gift Displayed at PM
House"
One Silk carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-09-11,130000.0,0.0,No,No
One Dagger,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-09-11,40000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
One W,Watch,"Rear  Admiral  Faisal
Lodhi  HI(M)  of
Pakistan Navy",Military,2019-09-11,35000.0,0.0,No,No
One  Model  of  Ship,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",Unknown,2019-09-16,15000.0,0.0,Yes,Yes
Model of Incense Burner,Not Specified,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of
Pakistan",Unknown,2019-09-17,0.0,0.0,Yes,Yes
Art  design  Rock Masses,Not Specified,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of
Pakistan",Unknown,2019-09-17,0.0,0.0,Yes,Yes
One Chit Pad,Not Specified,Chairman HITB,Unknown,2019-09-20,0.0,0.0,Yes,Yes
a,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-03,0.0,0.0,Yes,Yes
a,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-10,18000.0,0.0,Yes,Yes
One  piece  of  carpet  duly,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-14,0.0,0.0,Yes,Yes
One box containing,Watch,"Mr. Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-17,1900000.0,935000.0,Yes,Yes
a,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-17,502000.0,0.0,No,No
One  decoration  piece,Decoration Pieces,"Mr.  Imran Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-17,0.0,0.0,Yes,Yes
One Proton Car,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of",PTI,2019-10-23,321053.1120341799,48512.76099881094,"As per T.K.
Procedure, placed at","As per T.K.
Procedure, placed at"
One  Dagger  ,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-10-23,47000.0,0.0,"Gift Displayed at PM
House","Gift Displayed at PM
House"
One  box  containing,Not Specified,"First  Lady,  wife  of
the  Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-10-28,689000.0,865000.0,Yes,Yes
One Carpet,Carpet,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-10-28,65000.0,17500.0,Yes,Yes
One Pen ,Pen,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-10-28,3000.0,0.0,Yes,Yes
One  model  of  Masjid-e-,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-10-28,0.0,0.0,Yes,Yes
a,Not Specified,"a)  Dr.  Arif  Alvi,
President of Pakistan
b)  First  Lady  of
Pakistan",PTI,2019-10-30,800.0,0.0,Yes,Yes
One Ceramic Plate,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-10-30,0.0,0.0,Yes,Yes
Two  small  boxes,Decoration Pieces,"Dr.  Arif  Alvi,
President of Pakistan
&  First  Lady  of
Pakistan",PTI,2019-10-30,1000.0,0.0,Yes,Yes
One  Carpet  approx,Carpet,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-04,55000.0,12500.0,Yes,Yes
a,Not Specified,First  Lady  of,PTI,2019-11-04,25280.0,0.0,Yes,Yes
a,Crockery,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-04,30000.0,0.0,Yes,Yes
One box containing,Cigar/Cigarettes,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-04,60000.0,15000.0,Yes,Yes
a,Not Specified,"Minister  for  Energy,
Mr. Omer Ayub",PTI,2019-11-06,29000.0,0.0,Yes,Yes
a,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-22,47700.0,0.0,"Books displayed at
Cabinet Division
Library
Other gifts deposited
in Toshakhana","Books displayed at
Cabinet Division
Library
Other gifts deposited
in Toshakhana"
a,Decoration Pieces,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-22,30000.0,0.0,Yes,Yes
One  Military  Geometric,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-22,0.0,0.0,Yes,Yes
One  box  containing  Pair,Pen,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-22,0.0,0.0,Yes,Yes
Two Books,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-11-22,0.0,0.0,Yes,Yes
One Calligraphy piece,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-12-10,15000.0,0.0,Yes,Yes
a,Not Specified,"President  of
Pakistan,  Dr.  Arif
Alvi",PTI,2019-12-10,5500.0,0.0,Yes,Yes
a,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2019-12-10,1000.0,0.0,Yes,Yes
Headphone,Phone,"Minister  for  Energy
(Power  Division) Mr.
Omer Ayub Khan",PTI,2019-12-11,2200.0,0.0,Yes,Yes
One  Rolex  W,Watch,"Mr.  Sohail
Mehmood,  Foreign
Secretary",PTI,2019-12-20,0.0,0.0,No,No
One  Cartier  W,Watch,"SAPM  on  Overseas
Pakistanis  &  HRD,
Syed  Zulfiqar
Bukhari",PTI,2019-12-23,0.0,260000.0,Yes,Yes
William  ,Not Specified,"SAPM  on  Overseas
Pakistanis  &  HRD,
Syed  Zulfiqar  Abbas
Bukhari",PTI,2019-12-23,280000.0,0.0,No,No
a,Not Specified,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of",PTI,2019-12-24,210000.0,0.0,"One Pen with
Cufflinks (MONT
BLANC) deposited in","One Pen with
Cufflinks (MONT
BLANC) deposited in"
a,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-12-24,0.0,0.0,Yes,Yes
One  W,Watch,"Brig  Waseem
Iftikhar  Cheema,  MS
to the Prime Minister ",Military,2019-12-24,0.0,180000.0,Yes,Yes
One  W,Watch,"Rana  Akbar  Hayat,
PSO  to  the  Prime
Minister",Unknown,2019-12-24,150000.0,0.0,Yes,Yes
One  W,Watch,"Wg  Cdr  Khurram
Javaid,
ADC  to  the  Prime
Minister",Military,2019-12-24,250000.0,0.0,No,No
One  W,Watch,"SP  Mahzoor  Ali
Ghauri,  Chief
Security  Officer  to
the Prime Minister",Police,2019-12-24,75000.0,0.0,Yes,Yes
One  w,Watch,"Mr.  Irfan  Ashraf
Qazi,  PRO  to  the
Prime Minister ",Unknown,2019-12-24,0.0,0.0,Yes,Yes
One W,Watch,"ASP  Muhammad
Sami  Malik,  Security
Officer  to  the  Prime
Minister",Police,2019-12-24,0.0,0.0,Yes,Yes
One  W,Watch,"Mr.  Javed  Iqbal,
Assistant  Protocol
Officer",Unknown,2019-12-24,0.0,65000.0,Yes,Yes
One  W,Watch,"ASI  Hamad  Raza,
Gunman",Police,2019-12-24,0.0,65000.0,Yes,Yes
One W,Watch,"Sepoy  Atiq  ur
Rehman,  SSG
Gunman",Police,2019-12-24,0.0,0.0,No,No
One W,Watch,"Constable,  Malik
Qasim  Mehmood,
Gunman",Police,2019-12-24,0.0,0.0,No,No
One W,Watch,"Mr. Muhammad
Ikram  Abbasi,
Cameraman PTV",Media,2019-12-24,0.0,45000.0,Yes,Yes
One W,Watch,"Mr.  Arshad  Ali,
Photographer  PID",Unknown,2019-12-24,120000.0,0.0,No,No
One  w,Watch,"Deputy  Chief  of
Protocol  (V-II)
Ammar Amin",Military,2019-12-27,175000.0,0.0,No,No
One  model  of  door  of,Not Specified,"Foreign  Minister,
Shah  Mehmood
Qureshi",Unknown,2019-12-30,0.0,0.0,Yes,Yes
One wool carpet,Carpet,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2019-12-30,0.0,0.0,Yes,Yes
One  Model  of,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2020-01-08,0.0,0.0,Yes,Yes
Perfume,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2020-01-09,74000.0,0.0,"a) Deposited in
Toshakhana
b) Deposited in
Toshakhana
c) Dagger displayed at
PM house","a) Deposited in
Toshakhana
b) Deposited in
Toshakhana
c) Dagger displayed at
PM house"
Tea Set ,Crockery,"Dr. Moeed  Yousaf
SAPM  on  National
security",PTI,2020-01-10,8000.0,0.0,No,No
One Sword,Not Specified,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2020-01-15,80000.0,25000.0,Yes,Yes
One Carpet Small,Carpet,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2020-01-15,24000.0,0.0,Yes,Yes
a,Not Specified,"Dr.  Moeed  Yousaf,
SAPM  on  National
Security  Division  &
Strategic  Policy
Planning",PTI,2020-01-16,0.0,0.0,No,No
One Ceramic Bowl,Not Specified,"Dr.  Moeed  Yousaf,
SAPM  on  National
Security  Division  &
Strategic  Policy
Planning",PTI,2020-01-16,1500.0,0.0,No,No
Apple  iPad  ,Not Specified,"Sajid  Mehmood  Qazi,
Joint  Secretary
(A/CA)",Bureaucracy,2020-01-17,49500.0,0.0,No,No
One Plastic Box,Not Specified,"Dr.  Sania  Nishtar,
SAPM  on  Social
Protection  &  Poverty
Alleviation",PTI,2020-01-24,0.0,0.0,Yes,Yes
Perfume  Set  ,Not Specified,"Mr.  Afzal  Mehmood,
Ambassador  of
Pakistan Bahrain",Bureaucracy,2020-01-29,29000.0,0.0,No,No
Three  Smart,Watch,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",Unknown,2020-01-29,72000.0,0.0,No,No
Marble Box,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",Unknown,2020-02-06,8000.0,0.0,No,No
a,Bags,"Prime  Minister,  Mr.
Imran  Khan  and  his
wife",PTI,2020-02-10,5000.0,0.0,Yes,Yes
One  Apple  I-Phone,Phone,"PA-36022  Brig  Atif
Mujtaba,  Cdr.  60
Bgd.",Military,2020-02-11,100000.0,0.0,Yes,Yes
a,Pen,  PA-33733 Lt Col Abid,Military,2020-02-11,23000.0,0.0,No,No
One  w,Watch,"Mr.  Moazzam  Ahmad
Khan,  Special
Secretary  while
serving  as
Ambassador  of
Pakistan to UAE",Bureaucracy,2020-02-11,900000.0,435000.0,Yes,Yes
One Frame,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",Unknown,2020-02-17,6000.0,0.0,No,No
One Marble glass,Not Specified,"Mr.  Omer  Ayub
Khan,  Minister  for
Energy",Unknown,2020-02-17,70000.0,0.0,No,No
One  Decoration,Decoration Pieces,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2020-02-28,40000.0,0.0,No,No
One  hand  painted,Crockery,"Dr.  Arif  Alvi,
President of Pakistan",PTI,2020-03-02,0.0,15000.0,Yes,Yes
a,Crockery,"First lady of Pakistan,
wife of Dr. Arif Alvi",PTI,2020-03-02,45000.0,10000.0,Yes,Yes
One  w,Watch,"SAPM  Syed  Zulfiqar
Abbas Bukhari",PTI,2020-03-03,830000.0,400000.0,Yes,Yes
One  Table  Clock,Not Specified,"Mr.  Imran  Khan,
Prime  Minister  of
Pakistan",PTI,2020-03-03,325000.0,0.0,No,No
One w,Watch,"Mr.  Nadeem  Babar,
SAPM on petroleum",PTI,2020-03-04,830000.0,400000.0,Yes,Yes
One  w,Watch,"Brig  Waseem  Iftikhar
Cheema,
Military  Secretary  to
the Prime Minister",Military,2020-03-04,625000.0,297500.0,Yes,Yes
One  w,Watch,"Rana  Akbar  Hayat,
PSO  to  the  Prime
Minister",Unknown,2020-03-04,625000.0,297500.0,Yes,Yes
One  w,Watch,"SP  Mazhoor  Ali
Ghauri,  Chief
Security  Officer  to
the Prime Minister",Unknown,2020-03-04,387500.0,0.0,No,No
One  w,Watch,"Maj  Asad  Rashid
Khan,  ADC  to  Prime
Minister",Military,2020-03-04,0.0,0.0,Yes,Yes
One  w,Watch,"Mr.  Muhammad
Hanif, photographer",Media,2020-03-04,130000.0,0.0,Yes,Yes
One  w,Watch,"Mr.  Imran  Hussain,
Cameraman",Media,2020-03-04,0.0,0.0,Yes,Yes
One  w,Watch,"Constable  Toufiq
Ahmad,  Police
Gunman",Police,2020-03-04,387500.0,178750.0,Yes,Yes
One  tea  set  ,Crockery,"Mr.  Afzal  Latif,
Secretary Industries",Police,2020-03-09,0.0,0.0,No,No
One  Hublot  Classic,Watch,"Shah  Mehmood
Hussain  Qureshi,
Foreign  Minister  of
Pakistan",PTI,2020-03-12,750000.0,0.0,No,No
